SNR_dB,BER_BPSK,BER_QPSK,BER_16QAM,BER_64QAM,BER_256QAM
0.0,2.50492188e-002,6.84737305e-002,1.87223047e-001,2.78292546e-001,3.32797559e-001
5.0,6.64355469e-003,2.33421875e-002,1.02949805e-001,1.97470801e-001,2.67514673e-001
10.0,1.92812500e-003,7.96953125e-003,4.18786133e-002,1.16327116e-001,1.92908789e-001
15.0,7.86328125e-004,2.87382813e-003,1.49154785e-002,5.01538411e-002,1.15282837e-001
20.0,2.72265625e-004,1.04013672e-003,5.55610352e-003,1.84477539e-002,5.37278564e-002
25.0,4.66796875e-005,1.75781250e-004,1.86396484e-003,6.99462891e-003,1.96326660e-002
30.0,3.90625000e-007,1.80664062e-005,4.65234375e-004,2.24938151e-003,7.22846680e-003
35.0,0.00000000e+000,0.00000000e+000,1.28906250e-005,5.00195312e-004,2.52722168e-003
40.0,0.00000000e+000,0.00000000e+000,2.29492188e-006,1.62076823e-004,9.08105469e-004
45.0,0.00000000e+000,0.00000000e+000,0.00000000e+000,1.14908854e-005,1.42260742e-004
50.0,0.00000000e+000,0.00000000e+000,0.00000000e+000,0.00000000e+000,2.56347656e-006
